customer_key,customer_name,age,gender,city,state,country
C004510,Customer_0,58,Female,New York,TX,USA
C008967,Customer_1,25,Female,Miami,IL,USA
C007261,Customer_2,19,Male,Los Angeles,IL,USA
C007048,Customer_3,65,Female,Miami,CA,USA
C006430,Customer_4,35,Female,Houston,FL,USA
C007574,Customer_5,33,Female,New York,FL,USA
C005695,Customer_6,32,Female,Houston,NY,USA
C008728,Customer_7,26,Male,Miami,FL,USA
C002764,Customer_8,65,Male,New York,FL,USA
C003128,Customer_9,24,Female,Chicago,FL,USA
C006613,Customer_10,61,Female,Houston,NY,USA
C009139,Customer_11,65,Male,Los Angeles,TX,USA
C000849,Customer_12,52,Female,Chicago,CA,USA
C005138,Customer_13,23,Female,Chicago,TX,USA
C000136,Customer_14,55,Male,New York,FL,USA
C007305,Customer_15,45,Male,New York,NY,USA
C006779,Customer_16,20,Male,New York,IL,USA
C004337,Customer_17,19,Female,New York,FL,USA
C007044,Customer_18,23,Male,New York,NY,USA
C004437,Customer_19,31,Female,New York,IL,USA
C006330,Customer_20,32,Female,New York,TX,USA
C004953,Customer_21,50,Male,Chicago,FL,USA
C009102,Customer_22,56,Female,Los Angeles,NY,USA
C001667,Customer_23,19,Female,Miami,FL,USA
C003131,Customer_24,53,Male,New York,FL,USA
C000117,Customer_25,30,Female,New York,IL,USA
C008372,Customer_26,63,Male,Los Angeles,IL,USA
C000587,Customer_27,59,Male,Houston,FL,USA
C002814,Customer_28,62,Male,New York,FL,USA
C006599,Customer_29,52,Male,Houston,TX,USA
C004506,Customer_30,44,Male,Miami,CA,USA
C003012,Customer_31,32,Male,Chicago,TX,USA
C002416,Customer_32,46,Female,New York,FL,USA
C004635,Customer_33,55,Female,Miami,CA,USA
C002106,Customer_34,35,Male,New York,FL,USA
C002014,Customer_35,69,Female,Los Angeles,IL,USA
C006673,Customer_36,18,Female,Chicago,FL,USA
C003551,Customer_37,66,Female,Chicago,FL,USA
C004163,Customer_38,69,Male,Houston,TX,USA
C008636,Customer_39,28,Male,New York,TX,USA
C006607,Customer_40,62,Female,Miami,CA,USA
C004785,Customer_41,45,Male,Chicago,FL,USA
C007584,Customer_42,39,Female,Chicago,NY,USA
C000794,Customer_43,35,Male,Chicago,CA,USA
C006515,Customer_44,27,Female,Los Angeles,NY,USA
C006654,Customer_45,31,Male,New York,TX,USA
C004238,Customer_46,66,Male,Miami,TX,USA
C005911,Customer_47,39,Female,Los Angeles,NY,USA
C002711,Customer_48,24,Male,Miami,CA,USA
C002588,Customer_49,23,Male,Miami,CA,USA
C001376,Customer_50,42,Male,Miami,FL,USA
C005655,Customer_51,24,Male,Houston,TX,USA
C000616,Customer_52,40,Male,Chicago,NY,USA
C006210,Customer_53,40,Female,Houston,CA,USA
C005781,Customer_54,56,Male,Miami,NY,USA
C000769,Customer_55,34,Female,New York,FL,USA
C005135,Customer_56,69,Male,Los Angeles,NY,USA
C001614,Customer_57,20,Male,Los Angeles,IL,USA
C007507,Customer_58,64,Male,Chicago,NY,USA
C005973,Customer_59,47,Male,Miami,FL,USA
C009137,Customer_60,52,Male,Miami,FL,USA
C001890,Customer_61,25,Male,New York,NY,USA
C005857,Customer_62,42,Female,Chicago,CA,USA
C001213,Customer_63,23,Male,Houston,FL,USA
C008426,Customer_64,53,Female,Houston,FL,USA
C005265,Customer_65,36,Male,New York,FL,USA
C007155,Customer_66,58,Male,Miami,TX,USA
C008945,Customer_67,57,Male,Houston,NY,USA
C006321,Customer_68,41,Male,Houston,FL,USA
C000850,Customer_69,54,Female,New York,CA,USA
C006253,Customer_70,30,Male,New York,NY,USA
C001743,Customer_71,63,Male,Miami,TX,USA
C004020,Customer_72,22,Male,New York,NY,USA
C006064,Customer_73,20,Female,New York,TX,USA
C007452,Customer_74,60,Female,Chicago,TX,USA
C001606,Customer_75,32,Female,Los Angeles,FL,USA
C005146,Customer_76,67,Female,Houston,NY,USA
C004369,Customer_77,36,Male,Chicago,NY,USA
C000367,Customer_78,23,Male,Chicago,NY,USA
C000687,Customer_79,32,Female,New York,TX,USA
C007347,Customer_80,24,Male,Chicago,FL,USA
C004023,Customer_81,42,Male,Miami,CA,USA
C008650,Customer_82,35,Male,Chicago,CA,USA
C007983,Customer_83,47,Female,Miami,TX,USA
C009083,Customer_84,58,Male,Los Angeles,CA,USA
C002504,Customer_85,41,Male,Houston,FL,USA
C006203,Customer_86,28,Female,Houston,FL,USA
C001921,Customer_87,41,Male,Miami,CA,USA
C007064,Customer_88,40,Female,New York,TX,USA
C001108,Customer_89,31,Male,Los Angeles,FL,USA
C006657,Customer_90,60,Female,Houston,FL,USA
C006206,Customer_91,35,Male,Los Angeles,CA,USA
C008525,Customer_92,62,Female,Chicago,CA,USA
C005322,Customer_93,61,Male,Miami,IL,USA
C009017,Customer_94,59,Male,Los Angeles,FL,USA
C003121,Customer_95,22,Male,Chicago,TX,USA
C004972,Customer_96,56,Male,Chicago,IL,USA
C007493,Customer_97,58,Female,New York,FL,USA
C007851,Customer_98,28,Male,Chicago,TX,USA
C004867,Customer_99,52,Male,Chicago,NY,USA
C000893,Customer_100,64,Female,Los Angeles,CA,USA
C002529,Customer_101,33,Male,Miami,IL,USA
C008597,Customer_102,28,Male,Houston,NY,USA
C004165,Customer_103,47,Male,New York,TX,USA
C007895,Customer_104,42,Male,Miami,TX,USA
C006255,Customer_105,35,Male,New York,IL,USA
C000553,Customer_106,58,Female,Houston,TX,USA
C008077,Customer_107,62,Female,New York,FL,USA
C005936,Customer_108,53,Female,Houston,FL,USA
C000180,Customer_109,32,Male,Los Angeles,TX,USA
C001090,Customer_110,61,Male,Los Angeles,FL,USA
C006813,Customer_111,38,Male,Houston,CA,USA
C007874,Customer_112,67,Female,Miami,CA,USA
C007479,Customer_113,67,Female,Miami,IL,USA
C005106,Customer_114,21,Female,Miami,IL,USA
